CustomerID,Product,PurchaseDate,Quantity,UnitPrice,CustomerName,ProductCategory,PaymentMethod,ReviewRating,TotalPrice
C5361,Phone,2024-03-05,8,618.83,Customer C5361,Office Supplies,Cash,1,4950.64
C6231,Laptop,2025-06-21,7,366.22,Customer C6231,Electronics,Debit Card,3,2563.54
C7704,Chair,2023-06-25,5,634.51,Customer C7704,Office Supplies,Credit Card,4,3172.55
C2923,Printer,2023-09-30,3,508.63,Customer C2923,Office Supplies,Gift Card,1,1525.89
C4847,Monitor,2023-04-03,4,452.06,Customer C4847,Electronics,Credit Card,2,1808.24
C7317,Chair,2023-04-11,3,209.79,Customer C7317,Office Supplies,Gift Card,1,629.37
C5076,Desk,2024-06-19,3,88.74,Customer C5076,Office Supplies,Debit Card,3,266.22
C5181,Chair,2023-08-16,8,273.92,Customer C5181,Furniture,Credit Card,2,2191.36
C9564,Monitor,2023-02-11,6,718.79,Customer C9564,Electronics,Gift Card,3,4312.74
C7521,Tablet,2025-06-14,7,100.37,Customer C7521,Office Supplies,Debit Card,4,702.59
C7713,Desk,2023-09-24,2,453.05,Customer C7713,Electronics,Credit Card,4,906.1
C3269,Desk,2025-04-25,7,528.22,Customer C3269,Furniture,Debit Card,4,3697.54
C7058,Laptop,2024-09-28,1,539.67,Customer C7058,Furniture,Cash,3,539.67
C8718,Phone,2025-01-26,2,797.46,Customer C8718,Electronics,Credit Card,3,1594.92
C2966,Phone,2023-11-16,8,283.94,Customer C2966,Electronics,Cash,1,2271.52
C7436,Laptop,2024-11-20,8,569.56,Customer C7436,Electronics,Debit Card,5,4556.48
C8827,Phone,2023-09-06,5,467.51,Customer C8827,Furniture,Online,2,2337.55
C1067,Monitor,2024-12-01,5,600.51,Customer C1067,Electronics,Debit Card,4,3002.55
C3719,Tablet,2024-10-12,7,6.92,Customer C3719,Office Supplies,Gift Card,5,48.44
C8138,Monitor,2023-09-29,3,194.81,Customer C8138,Furniture,Cash,5,584.43
C7824,Chair,2024-06-15,2,559.15,Customer C7824,Office Supplies,Online,1,1118.3
C4856,Desk,2024-10-09,3,224.5,Customer C4856,Furniture,Debit Card,5,673.5
C4788,Chair,2024-01-03,2,749.32,Customer C4788,Furniture,Credit Card,3,1498.64
C4679,Laptop,2024-06-11,2,492.58,Customer C4679,Furniture,Cash,5,985.16
C7284,Printer,2024-08-22,2,148.12,Customer C7284,Furniture,Debit Card,5,296.24
C2387,Laptop,2024-08-18,7,705.72,Customer C2387,Furniture,Credit Card,4,4940.04
C1661,Tablet,2023-12-29,1,157.45,Customer C1661,Furniture,Gift Card,2,157.45
C7692,Laptop,2025-02-09,2,584.05,Customer C7692,Office Supplies,Credit Card,4,1168.1
C7789,Phone,2024-10-24,8,267.56,Customer C7789,Office Supplies,Debit Card,2,2140.48
C7793,Monitor,2024-09-13,2,756.45,Customer C7793,Furniture,Credit Card,2,1512.9
C3454,Phone,2023-05-18,2,121.84,Customer C3454,Office Supplies,Debit Card,1,243.68
C5278,Phone,2025-01-03,2,219.1,Customer C5278,Office Supplies,Cash,5,438.2
C3802,Chair,2023-07-28,4,322.31,Customer C3802,Electronics,Debit Card,3,1289.24
C7470,Laptop,2023-03-22,3,477.77,Customer C7470,Furniture,Cash,1,1433.31
C5254,Monitor,2023-10-29,1,45.88,Customer C5254,Office Supplies,Credit Card,4,45.88
C7480,Printer,2024-03-21,3,185.15,Customer C7480,Office Supplies,Cash,1,555.45
C3130,Laptop,2023-03-15,3,562.1,Customer C3130,Office Supplies,Gift Card,1,1686.3
C3032,Laptop,2025-02-21,3,142.41,Customer C3032,Office Supplies,Gift Card,1,427.23
C4007,Laptop,2023-01-03,7,422.55,Customer C4007,Furniture,Cash,1,2957.85
C9078,Monitor,2024-02-01,4,442.91,Customer C9078,Furniture,Credit Card,5,1771.64
C6015,Laptop,2024-08-18,8,35,Customer C6015,Electronics,Credit Card,4,280
C6157,Tablet,2024-12-06,5,242.27,Customer C6157,Electronics,Cash,5,1211.35
C3763,Laptop,2023-03-27,6,354.48,Customer C3763,Office Supplies,Gift Card,5,2126.88
C8736,Tablet,2024-11-24,8,268.22,Customer C8736,Office Supplies,Debit Card,2,2145.76
C5592,Laptop,2024-04-30,2,208.61,Customer C5592,Electronics,Cash,2,417.22
C3280,Tablet,2023-03-12,4,108.63,Customer C3280,Office Supplies,Gift Card,3,434.52
C5151,Monitor,2024-08-10,8,164.45,Customer C5151,Electronics,Credit Card,2,1315.6
C6267,Desk,2025-04-05,8,207.35,Customer C6267,Office Supplies,Credit Card,5,1658.8
C9907,Desk,2025-06-20,5,223.34,Customer C9907,Electronics,Online,2,1116.7
C1813,Laptop,2023-03-19,8,193.52,Customer C1813,Furniture,Cash,4,1548.16
C8036,Desk,2023-12-19,8,446.4,Customer C8036,Electronics,Credit Card,3,3571.2
C4434,Printer,2023-02-14,4,77.48,Customer C4434,Office Supplies,Cash,2,309.92
C3557,Desk,2025-03-08,7,283.8,Customer C3557,Furniture,Credit Card,5,1986.6
C4213,Desk,2023-09-02,5,696.64,Customer C4213,Electronics,Gift Card,1,3483.2
C7988,Tablet,2024-04-16,4,102.51,Customer C7988,Electronics,Online,4,410.04
C2295,Printer,2023-06-17,5,532.44,Customer C2295,Office Supplies,Gift Card,1,2662.2
C2463,Printer,2024-07-20,1,551.09,Customer C2463,Electronics,Cash,5,551.09
C6671,Printer,2023-05-16,6,431.45,Customer C6671,Furniture,Debit Card,5,2588.7
C3039,Printer,2023-02-04,6,733.87,Customer C3039,Furniture,Online,5,4403.22
C1184,Printer,2024-09-27,5,275.86,Customer C1184,Office Supplies,Credit Card,5,1379.3
C1509,Tablet,2024-06-05,8,310.69,Customer C1509,Furniture,Debit Card,1,2485.52
C8097,Tablet,2025-06-23,6,755.15,Customer C8097,Office Supplies,Credit Card,3,4530.9
C3739,Printer,2023-01-15,7,714.61,Customer C3739,Electronics,Debit Card,2,5002.27
C7466,Chair,2023-10-03,7,518,Customer C7466,Office Supplies,Credit Card,2,3626
C8446,Monitor,2023-03-06,4,137.51,Customer C8446,Electronics,Cash,4,550.04
C5448,Laptop,2024-05-30,3,532.46,Customer C5448,Office Supplies,Gift Card,1,1597.38
C9577,Desk,2024-11-19,4,180.72,Customer C9577,Office Supplies,Online,2,722.88
C2330,Monitor,2023-03-28,1,724.47,Customer C2330,Office Supplies,Cash,5,724.47
C4020,Chair,2023-06-29,1,324.92,Customer C4020,Furniture,Debit Card,3,324.92
C9075,Desk,2025-03-28,8,73.74,Customer C9075,Electronics,Debit Card,1,589.92
C6286,Monitor,2025-05-02,6,428.89,Customer C6286,Furniture,Gift Card,4,2573.34
C7102,Chair,2024-02-22,3,239.55,Customer C7102,Furniture,Cash,4,718.65
C9618,Monitor,2025-03-02,5,780.03,Customer C9618,Furniture,Credit Card,2,3900.15
C1353,Printer,2024-09-06,2,778.43,Customer C1353,Furniture,Gift Card,4,1556.86
C5180,Monitor,2024-12-29,3,512.36,Customer C5180,Furniture,Online,5,1537.08
C1452,Tablet,2023-06-30,2,235.11,Customer C1452,Furniture,Debit Card,1,470.22
C5649,Phone,2024-06-06,2,406.09,Customer C5649,Electronics,Debit Card,5,812.18
C4229,Tablet,2025-04-09,8,23.72,Customer C4229,Electronics,Debit Card,5,189.76
C4760,Phone,2024-02-25,1,566.54,Customer C4760,Office Supplies,Online,2,566.54
C3716,Laptop,2025-02-13,1,286.54,Customer C3716,Furniture,Gift Card,4,286.54
C3704,Desk,2023-08-21,5,452.08,Customer C3704,Office Supplies,Online,2,2260.4
C4946,Laptop,2025-01-13,1,471.49,Customer C4946,Office Supplies,Debit Card,2,471.49
C1241,Monitor,2025-05-24,1,362.07,Customer C1241,Electronics,Debit Card,4,362.07
C1895,Phone,2023-05-11,6,769.43,Customer C1895,Office Supplies,Online,2,4616.58
C5586,Printer,2023-04-21,3,379.63,Customer C5586,Office Supplies,Cash,4,1138.89
C3244,Tablet,2024-05-27,2,322.94,Customer C3244,Furniture,Debit Card,3,645.88
C9710,Laptop,2023-08-06,6,729.68,Customer C9710,Furniture,Gift Card,4,4378.08
C6777,Printer,2024-11-04,1,693.07,Customer C6777,Electronics,Online,3,693.07
C1583,Printer,2024-02-22,6,657.93,Customer C1583,Furniture,Cash,2,3947.58
C3940,Tablet,2024-12-10,2,656.86,Customer C3940,Electronics,Online,5,1313.72
C7824,Laptop,2025-05-20,6,286.05,Customer C7824,Furniture,Cash,3,1716.3
C4033,Tablet,2024-06-12,7,19.66,Customer C4033,Electronics,Debit Card,5,137.62
C5271,Chair,2023-11-03,4,43.43,Customer C5271,Electronics,Gift Card,4,173.72
C7071,Tablet,2024-01-03,6,475.09,Customer C7071,Electronics,Cash,4,2850.54
C2155,Phone,2023-10-08,3,179.24,Customer C2155,Electronics,Cash,2,537.72
C3770,Phone,2024-10-19,5,628.39,Customer C3770,Furniture,Cash,2,3141.95
C7736,Desk,2023-11-01,7,485.73,Customer C7736,Electronics,Gift Card,3,3400.11
C7641,Chair,2025-04-20,6,236.38,Customer C7641,Furniture,Cash,4,1418.28
C2426,Phone,2023-04-29,8,719.65,Customer C2426,Office Supplies,Gift Card,5,5757.2
C3756,Chair,2023-01-14,7,768.99,Customer C3756,Furniture,Cash,2,5382.93
C6229,Printer,2024-08-03,8,401.32,Customer C6229,Office Supplies,Online,3,3210.56
C5058,Desk,2024-01-15,8,353.5,Customer C5058,Office Supplies,Online,2,2828
C5596,Laptop,2025-02-17,3,179.52,Customer C5596,Electronics,Online,2,538.56
C9332,Desk,2023-02-04,4,330.14,Customer C9332,Electronics,Cash,4,1320.56
C7363,Chair,2023-11-06,2,770.06,Customer C7363,Office Supplies,Credit Card,5,1540.12
